APPLICATION NUMBER,TYPE,YEAR ISSUED,PRINCIPAL DUE,ADDRESS, 
   325022,PERMIT,2011,2443.51,2932 CECIL B MOORE AVE , 
   325090,PERMIT,2011,4817.93,2200 RIDGE AVE , 
   325098,PERMIT,2011,1092.84,5827 FILBERT ST , 
   325145,PERMIT,2011,2706.62,850 N 04TH ST 6, 
   325180,PERMIT,2011,15753.48,5049 LANCASTER AVE , 
   325180,PERMIT,2011,15753.48,5049 LANCASTER WLK , 
   325242,PERMIT,2011,4146.76,4263 N 08TH ST , 
   325243,PERMIT,2011,2840.75,33 E CLAPIER ST , 
   325250,PERMIT,2011,6219.44,5262 DELANCEY ST , 
   325263,PERMIT,2011,941.4,1425 S NAPA ST , 
   325289,PERMIT,2011,102700.44,547 W CLEARFIELD ST , 
   325314,PERMIT,2011,0,2301 WASHINGTON AVE , 
   325324,PERMIT,2011,387.15,2918 CECIL B MOORE AVE , 
   325344,PERMIT,2011,441.35,2137 E ANN ST , 
   325355,PERMIT,2011,1036.15,531 N 58TH ST , 
   325375,PERMIT,2011,0,3321 B ST , 
   325382,PERMIT,2011,0,3321 B ST , 
   325390,PERMIT,2011,8709.36,450 S 50TH ST , 
   325447,PERMIT,2011,0,5430 BELMAR ST , 
   325453,PERMIT,2011,863.92,41 N 62ND ST , 
   325536,PERMIT,2011,462.15,2946 ELLA ST , 
   325591,PERMIT,2011,1392.34,2516 S 07TH ST , 
   325594,PERMIT,2011,1392.34,2516 S 07TH ST , 
   325611,PERMIT,2011,4752.37,1923 S BONSALL ST , 
   325637,PERMIT,2011,2956.37,5325 DIAMOND ST , 
   325649,PERMIT,2011,5694.42,12 N YEWDALL ST , 
   325686,PERMIT,2011,2956.37,5325 DIAMOND ST , 
   325724,PERMIT,2011,0,2032 N HOWARD ST , 
   325879,PERMIT,2011,0,440 N 15TH ST , 
   325898,PERMIT,2011,282.48,7219 THEODORE ST , 
   325942,PERMIT,2011,2785.04,3821 ASPEN ST , 
   325946,PERMIT,2011,564.93,3826 ASPEN ST , 
   325981,PERMIT,2011,13616.02,1640 N HANCOCK ST , 
   326050,PERMIT,2011,8137.56,9300 ASHTON RD 2, 
   326111,PERMIT,2011,16146.21,509 N 02ND ST , 
   326204,PERMIT,2011,4177.67,1526 W TIOGA ST , 
   326253,PERMIT,2011,1038.49,9108 SPRINGVIEW RD , 
   326271,PERMIT,2011,2392.05,1623 S LAWRENCE ST , 
   326326,PERMIT,2011,332.12,3053 N HUTCHINSON ST , 
   326396,PERMIT,2011,826.32,3142 N 25TH ST , 
   326422,PERMIT,2011,4913.61,3958 N DELHI ST , 
   326487,PERMIT,2011,15375.06,8046 MONTAGUE ST , 
   326509,PERMIT,2011,3434.97,459 W FISHER AVE , 
   326516,PERMIT,2011,1944.48,2500 W SEDGLEY AVE , 
   326524,PERMIT,2011,102700.44,547 W CLEARFIELD ST , 
   326527,PERMIT,2011,44208.94,1417A LOCUST ST , 
   326655,PERMIT,2011,5396.93,659 N 55TH ST , 
   326728,PERMIT,2011,941.4,1425 S NAPA ST , 
   326800,PERMIT,2011,483.54,3133 N 24TH ST , 
   326829,PERMIT,2011,5813.04,412 WATKINS ST , 
   326878,PERMIT,2011,5498.77,1809 W CHEW AVE , 
   326954,PERMIT,2011,5184.91,725 S ITHAN ST , 
   326977,PERMIT,2011,10.46,2340 E BOSTON ST , 
   327069,PERMIT,2011,3673.63,866 E CHELTEN AVE , 
   327082,PERMIT,2011,2956.37,5325 DIAMOND ST , 
   327089,PERMIT,2011,1961.62,2730 N TAYLOR ST , 
   327134,PERMIT,2011,2654.69,5800 N 05TH ST , 
   327151,PERMIT,2011,1781.85,5254 N 10TH ST , 
   327167,PERMIT,2011,815.76,2149 N UBER ST , 
   327196,PERMIT,2011,38.29,607 W NORRIS ST , 
   327197,PERMIT,2011,38.29,607 W NORRIS ST , 
   327204,PERMIT,2011,2262.6,3836 FOLSOM ST , 
   327206,PERMIT,2011,2785.04,3821 ASPEN ST , 
   327210,PERMIT,2011,564.93,3826 ASPEN ST , 
   327217,PERMIT,2011,3596.15,5543 LINMORE AVE , 
   327227,PERMIT,2011,2405.19,5747 N WOODSTOCK ST , 
   327275,PERMIT,2011,4998.85,4413 N CLEVELAND ST , 
   327287,PERMIT,2011,879.31,2404 N FAIRHILL ST , 
   327297,PERMIT,2011,7160.46,7158 N 20TH ST , 
   327306,PERMIT,2011,13451.1,1335 KIMBERLY DR , 
   327309,PERMIT,2011,2793.27,1311 BAINBRIDGE ST , 
   327373,PERMIT,2011,3813.29,839 E WOODLAWN ST , 
   327421,PERMIT,2011,9513.14,16 N 53RD ST , 
   327493,PERMIT,2011,5610.6,3855 N 07TH ST , 
   327611,PERMIT,2011,201.69,612 W TUSCULUM ST , 
   327623,PERMIT,2011,305.1,5433 WESTFORD RD , 
   327738,PERMIT,2011,2206.07,6001 CALLOWHILL ST , 
   327749,PERMIT,2011,4481.69,2466 N GRATZ ST , 
   327815,PERMIT,2011,26220.88,1318 W CUMBERLAND ST , 
   327816,PERMIT,2011,3409.92,1314 W CUMBERLAND ST , 
   327856,PERMIT,2011,5239.61,5728 N LAMBERT ST , 
   328017,PERMIT,2011,7512.47,1803 RIDGE AVE , 
   328031,PERMIT,2011,4104.46,2249 N 26TH ST , 
   328033,PERMIT,2011,2140.24,1022 S PAXON ST , 
   328070,PERMIT,2011,326.26,2715 MEYER PL , 
   328121,PERMIT,2011,4681.87,5710 LANSDOWNE AVE , 
   328126,PERMIT,2011,6170.92,110 W WISHART ST , 
   328197,PERMIT,2011,1106.08,3037 N HUTCHINSON ST , 
   328258,PERMIT,2011,2405.19,5747 N WOODSTOCK ST , 
   328340,PERMIT,2011,10995.28,2007 S GARNET ST , 
   328363,PERMIT,2011,294.43,3303 N 11TH ST , 
   328404,PERMIT,2011,4481.69,2466 N GRATZ ST , 
   328477,PERMIT,2011,6184.39,1637 N EDGEWOOD ST , 
   328546,PERMIT,2011,59864.52,110 CHESTNUT ST , 
   328606,PERMIT,2011,3669.22,1318 W JEROME ST , 
   328607,PERMIT,2011,9104.04,2545 SHIELDS ST , 
   328697,PERMIT,2011,2232.55,5409 ADDISON ST , 
   328769,PERMIT,2011,2146.68,2811 N CROSKEY ST , 
   328817,PERMIT,2011,6295.81,2825 ORMES ST , 
   328855,PERMIT,2011,814.53,2725 W STILES ST , 
   328922,PERMIT,2011,2552.38,6302 KINGSESSING AVE , 
   328947,PERMIT,2011,671690.1,2201 BRYN MAWR AVE , 
   329051,PERMIT,2011,5501.66,5225 MASTER ST , 
   329052,PERMIT,2011,10650.75,6526 N 16TH ST , 
   329065,PERMIT,2011,1019.7,1627 N 07TH ST , 
   329090,PERMIT,2011,5425.53,4224 OGDEN ST , 
   329163,PERMIT,2011,1873.78,3033 ARBOR ST , 
   329238,PERMIT,2011,12082.68,453 DURFOR ST , 
   329276,PERMIT,2011,4456.32,6714 N SYDENHAM ST , 
   329292,PERMIT,2011,793.72,1730 W COURTLAND ST , 
   329304,PERMIT,2011,4046.48,1238 W AIRDRIE ST , 
   329305,PERMIT,2011,4007.81,167 W LEHIGH AVE , 
   329323,PERMIT,2011,7771.4,1701 W CAYUGA ST , 
   329390,PERMIT,2011,965.79,4130 N DARIEN ST , 
   329429,PERMIT,2011,8895.81,2240 TASKER ST , 
   329494,PERMIT,2011,1136.17,440 W AIRDRIE ST , 
   329495,PERMIT,2011,1136.17,440 W AIRDRIE ST , 
   329508,PERMIT,2011,3290.66,703 W CLEARFIELD ST , 
   329517,PERMIT,2011,2315.22,3450 N 02ND ST , 
   329574,PERMIT,2011,0,6517 ROSS ST , 
   329583,PERMIT,2011,6167.87,5528 W GIRARD AVE , 
